Date,Magasin,Produit,Quantité vendue,Prix unitaire,Revenu,Année
2022-01-01 00:00:00.000000000,Magasin_5,Produit_1,103,12.44,1281.32,2022
2022-01-08 08:43:38.181818181,Magasin_3,Produit_4,180,5.7,1026.0,2022
2022-01-15 17:27:16.363636363,Magasin_4,Produit_5,93,24.05,2236.65,2022
2022-01-23 02:10:54.545454545,Magasin_4,Produit_7,15,22.77,341.55,2022
2022-01-30 10:54:32.727272727,Magasin_3,Produit_1,107,18.21,1948.47,2022
2022-02-06 19:38:10.909090909,Magasin_4,Produit_3,72,5.63,405.36,2022
2022-02-14 04:21:49.090909091,Magasin_3,Produit_2,189,13.95,2636.5499999999997,2022
2022-02-21 13:05:27.272727273,Magasin_2,Produit_9,21,37.01,777.2099999999999,2022
2022-02-28 21:49:05.454545455,Magasin_3,Produit_10,103,40.56,4177.68,2022
2022-03-08 06:32:43.636363637,Magasin_3,Produit_6,122,32.27,3936.9400000000005,2022
2022-03-15 15:16:21.818181819,Magasin_4,Produit_10,75,46.68,3501.0,2022
2022-03-23 00:00:00.000000001,Magasin_4,Produit_3,88,34.3,3018.3999999999996,2022
2022-03-30 08:43:38.181818182,Magasin_1,Produit_8,117,46.17,5401.89,2022
2022-04-06 17:27:16.363636364,Magasin_1,Produit_8,100,43.25,4325.0,2022
2022-04-14 02:10:54.545454546,Magasin_2,Produit_2,104,25.23,2623.92,2022
2022-04-21 10:54:32.727272728,Magasin_1,Produit_6,152,9.29,1412.08,2022
2022-04-28 19:38:10.909090910,Magasin_3,Produit_7,131,21.69,2841.3900000000003,2022
2022-05-06 04:21:49.090909092,Magasin_4,Produit_2,150,35.1,5265.0,2022
2022-05-13 13:05:27.272727274,Magasin_1,Produit_10,53,34.97,1853.4099999999999,2022
2022-05-20 21:49:05.454545456,Magasin_1,Produit_2,2,31.61,63.22,2022
2022-05-28 06:32:43.636363638,Magasin_2,Produit_10,88,17.36,1527.6799999999998,2022
2022-06-04 15:16:21.818181820,Magasin_2,Produit_1,158,30.26,4781.08,2022
2022-06-12 00:00:00.000000002,Magasin_3,Produit_8,38,22.23,844.74,2022
2022-06-19 08:43:38.181818184,Magasin_4,Produit_1,130,48.73,6334.9,2022
2022-06-26 17:27:16.363636364,Magasin_2,Produit_9,192,43.2,8294.400000000001,2022
2022-07-04 02:10:54.545454546,Magasin_1,Produit_6,188,37.48,7046.24,2022
2022-07-11 10:54:32.727272728,Magasin_4,Produit_7,21,15.62,328.02,2022
2022-07-18 19:38:10.909090910,Magasin_4,Produit_10,161,16.52,2659.72,2022
2022-07-26 04:21:49.090909092,Magasin_1,Produit_7,58,6.82,395.56,2022
2022-08-02 13:05:27.272727276,Magasin_2,Produit_10,22,36.98,813.56,2022
2022-08-09 21:49:05.454545456,Magasin_1,Produit_3,89,9.99,889.11,2022
2022-08-17 06:32:43.636363640,Magasin_4,Produit_2,49,24.77,1213.73,2022
2022-08-24 15:16:21.818181820,Magasin_5,Produit_9,59,14.08,830.72,2022
2022-09-01 00:00:00.000000000,Magasin_5,Produit_8,170,45.31,7702.700000000001,2022
2022-09-08 08:43:38.181818184,Magasin_3,Produit_10,188,26.39,4961.32,2022
2022-09-15 17:27:16.363636364,Magasin_1,Produit_7,15,30.35,455.25,2022
2022-09-23 02:10:54.545454548,Magasin_1,Produit_9,190,36.3,6896.999999999999,2022
